Salary,Year,Player,Pos,Age,Team,Championship Wins,RunnerUp Count,TRB,AST,STL,BLK,TOV,PF,PER,FG%,3P%,FTA,FT%,PTS,Championship Appearance Y/N
800000,1979,Anthony Roberts,SF,23,Denver Nuggets,0.0,0.0,258.0,107,20.0,2.0,65.0,142,11.2,0.424,0.0,110,0.691,498,0.0
600000,1979,Curtis Rowe,PF,29,Boston Celtics,0.0,0.0,242.0,69,15.0,13.0,88.0,105,7.7,0.436,0.0,75,0.693,354,0.0
1000000,1979,Jim Price,PG,29,Los Angeles Lakers,0.0,0.0,123.0,218,66.0,12.0,100.0,128,12.3,0.49700000000000005,0.0,79,0.696,397,0.0
600000,1979,Earl Tatum,SG,25,Detroit Pistons,0.0,0.0,121.0,72,78.0,33.0,85.0,158,12.1,0.44799999999999995,0.0,66,0.727,592,0.0
700000,1979,Wilson Washington,PF,23,New Jersey Nets,0.0,0.0,294.0,47,31.0,67.0,98.0,186,12.9,0.502,0.0,104,0.635,502,0.0
1600000,1979,Slick Watts,PG,27,Houston Rockets,0.0,0.0,103.0,243,73.0,14.0,71.0,143,11.3,0.405,0.0,67,0.612,225,0.0
1300000,1979,Butch Lee,PG,22,Cleveland Cavaliers,0.0,0.0,67.0,126,30.0,0.0,58.0,58,15.7,0.455,0.0,113,0.77,379,0.0
2300000,1979,Tom Burleson,C,26,Kansas City Kings,0.0,0.0,281.0,50,26.0,58.0,64.0,183,15.3,0.45899999999999996,0.0,169,0.716,435,0.0
600000,1979,Louie Dampier,PG,34,San Antonio Spurs,0.0,0.0,63.0,124,35.0,8.0,39.0,42,13.3,0.49,0.0,39,0.7440000000000001,275,0.0
1000000,1979,John Rudd,SF,23,New York Knicks,0.0,0.0,167.0,35,17.0,8.0,59.0,95,8.2,0.444,0.0,93,0.71,184,0.0
700000,1979,Wayne Radford,SG,22,Indiana Pacers,0.0,0.0,68.0,57,30.0,1.0,45.0,61,9.7,0.474,0.0,45,0.8,202,0.0
700000,1979,Rick Wilson,SG,22,Atlanta Hawks,0.0,0.0,76.0,72,30.0,8.0,41.0,66,9.7,0.41100000000000003,0.0,44,0.545,186,0.0
700000,1979,Ira Terrell,SF,24,Portland Trail Blazers,0.0,0.0,37.0,15,7.0,6.0,17.0,27,14.1,0.556,0.0,15,0.5329999999999999,68,0.0
600000,1979,Ted McClain,SG,32,Phoenix Suns,0.0,0.0,69.0,60,19.0,0.0,54.0,51,10.1,0.47,0.0,46,0.9129999999999999,166,0.0
700000,1979,Lucius Allen,PG,31,Kansas City Kings,0.0,0.0,46.0,44,21.0,6.0,30.0,52,8.7,0.397,0.0,33,0.5760000000000001,157,0.0
600000,1979,Al Skinner,SG,26,Philadelphia 76ers,0.0,0.0,44.0,40,18.0,1.0,34.0,61,8.0,0.40399999999999997,0.0,32,0.8440000000000001,99,0.0
1000000,1979,Elmore Smith,C,29,Cleveland Cavaliers,0.0,0.0,106.0,13,7.0,16.0,42.0,60,14.5,0.531,0.0,26,0.6920000000000001,156,0.0
600000,1979,Walt Frazier,PG,33,Cleveland Cavaliers,0.0,0.0,20.0,32,13.0,2.0,22.0,22,12.9,0.44299999999999995,0.0,27,0.778,129,0.0
600000,1979,Jim McMillian,SF,30,Portland Trail Blazers,0.0,0.0,39.0,33,10.0,3.0,16.0,18,11.9,0.446,0.0,21,0.81,83,0.0
700000,1979,Frankie Sanders,SF,22,Boston Celtics,0.0,0.0,51.0,17,7.0,3.0,23.0,25,16.4,0.462,0.0,27,0.815,132,0.0
600000,1979,Glenn Mosley,PF,23,San Antonio Spurs,0.0,0.0,64.0,19,8.0,10.0,20.0,35,12.2,0.413,0.0,38,0.605,85,0.0
700000,1979,Lars Hansen,C,24,Seattle Supersonics,0.0,0.0,59.0,14,1.0,1.0,9.0,28,13.6,0.509,0.0,31,0.581,76,0.0
900000,1979,Ron Behagen,PF,28,Kansas City Kings,0.0,0.0,31.0,5,2.0,1.0,6.0,27,10.8,0.46,0.0,11,0.727,54,0.0
800000,1979,Jackie Robinson,SF,23,Seattle Supersonics,0.0,0.0,19.0,13,5.0,1.0,11.0,9,13.6,0.46299999999999997,0.0,15,0.5329999999999999,46,0.0
1300000,1980,Ron Boone,SG,33,Utah Jazz,1.0,0.0,216.0,302,92.0,3.0,184.0,219,12.5,0.447,0.38,189,0.894,970,1.0
6500000,1980,Dave Meyers,PF,26,Milwaukee Bucks,0.0,0.0,448.0,225,72.0,40.0,182.0,218,13.3,0.48100000000000004,0.2,246,0.634,955,0.0
